p cnf 150 630
33 81 -95 0
-79 -13 -98 0
-76 -89 42 0
73 -94 141 0
97 62 -73 0
72 -134 -109 0
131 -106 -78 0
-83 -144 -41 0
-35 -119 80 0
-45 63 -74 0
31 -90 12 0
-148 -24 -45 0
9 118 -52 0
-112 -69 85 0
-81 -1 -109 0
-84 137 23 0
73 119 1 0
-131 150 76 0
66 38 -147 0
12 46 -124 0
-69 148 78 0
-32 -4 -142 0
-35 -39 -142 0
76 4 -28 0
104 -76 -20 0
-25 -40 42 0
-61 -62 -55 0
62 32 104 0
-84 -79 113 0
62 29 -111 0
129 97 -131 0
122 -136 -52 0
32 144 -131 0
58 -7 -61 0
-100 3 -112 0
-122 -143 32 0
-36 72 5 0
10 -45 -86 0
-76 -38 -52 0
-101 -76 32 0
-107 143 -44 0
118 -132 133 0
-50 130 120 0
-116 -134 -67 0
-24 -74 8 0
24 -108 -49 0
-141 -84 6 0
146 25 51 0
61 125 -15 0
-148 -61 20 0
-97 -94 -103 0
-53 69 -94 0
-64 12 -5 0
111 -33 -44 0
-117 72 146 0
-133 140 77 0
99 80 -93 0
90 59 77 0
81 82 138 0
-93 50 99 0
87 69 -22 0
-145 127 -13 0
-72 -66 95 0
-51 -123 94 0
-129 16 89 0
-47 95 86 0
-3 -94 -98 0
-58 81 -72 0
101 96 71 0
134 -20 30 0
109 58 113 0
6 46 -117 0
120 -69 -131 0
135 120 -136 0
138 -61 106 0
-137 18 122 0
-69 109 115 0
-59 -23 118 0
144 61 96 0
3 78 -9 0
-23 6 50 0
136 -9 73 0
137 124 11 0
12 137 79 0
-74 -40 -81 0
41 -69 -144 0
-101 97 -88 0
-30 141 12 0
-102 -16 -42 0
-88 2 -75 0
-41 117 60 0
27 -29 -90 0
62 109 -133 0
15 -150 57 0
73 -96 -39 0
41 113 143 0
-117 97 74 0
28 -94 -10 0
75 -14 101 0
91 134 133 0
-49 28 78 0
-57 38 147 0
49 98 -37 0
-22 -113 80 0
47 140 -126 0
-100 51 115 0
-98 -73 -48 0
-51 71 -16 0
-26 145 137 0
39 -105 -45 0
-27 26 90 0
-18 -75 107 0
-67 58 -88 0
-141 67 -147 0
66 -104 -95 0
-100 21 -37 0
67 -20 -121 0
-72 -25 89 0
108 -52 142 0
-18 24 -79 0
60 138 -29 0
-124 -149 -47 0
144 -58 -110 0
25 -143 88 0
-118 49 -32 0
92 25 -147 0
-138 -96 9 0
5 72 18 0
-19 -142 -86 0
14 -50 -28 0
-98 97 100 0
127 8 -124 0
-4 -131 -93 0
-27 -22 39 0
94 7 66 0
-148 -10 -32 0
140 -18 -44 0
88 26 48 0
-22 -64 -28 0
-49 3 -150 0
119 -86 9 0
136 -28 -92 0
100 -133 41 0
5 -3 94 0
118 -150 -15 0
-17 -116 -119 0
-25 -80 -81 0
-126 -150 109 0
13 61 -84 0
71 -77 -146 0
-111 -40 86 0
60 106 -86 0
-102 146 -91 0
83 -61 -132 0
-113 -3 -121 0
-121 -68 99 0
-72 -32 -105 0
44 101 31 0
65 -103 138 0
122 65 111 0
60 57 -73 0
-103 116 76 0
-3 8 -120 0
7 -114 -29 0
77 -13 -75 0
-84 -98 -54 0
115 41 80 0
-120 -16 95 0
6 -111 -5 0
-46 88 95 0
59 70 -18 0
-48 122 144 0
48 -80 -139 0
34 -117 -56 0
52 -83 -128 0
-113 93 -123 0
-149 -72 -17 0
96 11 109 0
-74 59 -28 0
-41 40 -103 0
-65 44 -102 0
-38 29 -58 0
114 4 -142 0
-104 93 122 0
-44 -131 -105 0
53 -26 128 0
-28 44 -107 0
-93 -147 29 0
90 107 -74 0
118 105 11 0
-79 -149 34 0
-87 -143 -38 0
-59 7 2 0
48 146 -89 0
61 -9 -115 0
-131 -29 96 0
-60 121 -101 0
14 6 -122 0
